spo,gene,funct,NCBI
SPO2382,SPO2382,tricarboxylate transporter family protein,SPO_RS12085
SPO2383,SPO2383,hypothetical protein,SPO_RS22545
SPO2384,SPO2384,tricarboxylate transporter family protein,SPO_RS12095
SPO2385,SPO2385,"benzaldehyde lyase, putative",SPO_RS12100
SPO2386,SPO2386,hypothetical protein,SPO_RS12105
SPO2387,SPO2387,"oxidoreductase, FAD-binding protein",SPO_RS12110
SPO2388,SPO2388,"translocator protein, LysE family",SPO_RS12115
SPO2389,SPO2389,"oxidoreductase, molybdopterin-binding protein",SPO_RS12120
SPO2390,SPO2390,"site-specific recombinase, phage integrase family",
SPO2392,SPO2392,hypothetical protein,
SPO2393,SPO2393,"carbon monoxide dehydrogenase G protein, putative",SPO_RS12150
SPO2394,coxF,carbon monoxide dehydrogenase F protein,SPO_RS12155
SPO2395,coxE,carbon monoxide dehydrogenase E protein,SPO_RS12160
SPO2396,coxD,carbon monoxide dehydrogenase D protein,SPO_RS12165
SPO2397,coxL-2,"carbon monoxide dehydrogenase, large subunit",SPO_RS12170
SPO2398,coxS-2,"carbon monoxide dehydrogenase, small subunit",SPO_RS12175
SPO2399,coxM,"carbon monoxide dehydrogenase, medium subunit",SPO_RS12180
SPO2400,coxC,carbon monoxide dehydrogenase operon C protein,SPO_RS12185
SPO2401,SPO2401,type I secretion target repeat protein,
SPO2402,SPO2402,"transposase, degenerate",SPO_RS22550
SPO2403,SPO2403,hypothetical protein,
SPO2405,SPO2405,"site-specific recombinase, phage integrase family",
SPO2406,SPO2406,"ISSpo6, transposase orf A",
SPO2407,SPO2407,"ISSpo6, transposase orfB",
SPO2408,SPO2408,hypothetical protein,SPO_RS12235
SPO2409,SPO2409,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS12240
SPO2410,SPO2410,"dihydroxy-acid dehydratase, putative",SPO_RS12245
SPO2411,SPO2411,hypothetical protein,SPO_RS12250
SPO2412,SPO2412,"aldolase, putative",SPO_RS12255
SPO2413,SPO2413,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS12260
SPO2414,SPO2414,mandelate racemase/muconate lactonizing enzyme family protein,SPO_RS12265
SPO2415,SPO2415,phytanoyl-CoA dioxygenase family protein,SPO_RS12270
SPO2416,SPO2416,3-hydroxyisobutyrate dehydrogenase family protein,SPO_RS12275
SPO2417,idnO,gluconate 5-dehydrogenase,SPO_RS12280
SPO2418,SPO2418,"transporter, LysE family",SPO_RS12285
SPO2419,SPO2419,hypothetical protein,SPO_RS12290
SPO2420,kdgK,2-dehydro-3-deoxygluconokinase,SPO_RS12295
SPO2421,SPO2421,hypothetical protein,SPO_RS12300
SPO2422,SPO2422,D-isomer specific 2-hydroxyacid dehydrogenase family protein,SPO_RS12305
SPO2423,SPO2423,hypothetical protein,SPO_RS12310
SPO2424,idnD,L-idonate 5-dehydrogenase,SPO_RS12315
SPO2425,SPO2425,shikimate 5-dehydrogenase/quinate 5-dehydrogenase family protein,SPO_RS12320
SPO2426,SPO2426,hypothetical protein,SPO_RS12325
SPO2427,SPO2427,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS12330
SPO2428,SPO2428,6-phosphogluconate dehydrogenase domain protein,SPO_RS12335
SPO2429,SPO2429,"oxidoreductase, Gfo/Idh/MocA family",SPO_RS12340
SPO2430,SPO2430,"hydrolase, UxaA family",SPO_RS12345
SPO2431,SPO2431,"TRAP dicarboxylate transporter, DctM subunit",SPO_RS12350
SPO2432,SPO2432,"TRAP dicarboxylate transporter, DctQ subunit",
SPO2433,SPO2433,"TRAP dicarboxylate transporter, DctP subunit, putative",SPO_RS12360
SPO2434,SPO2434,"transcriptional regulator, GntR family",SPO_RS12365
SPO2435,SPO2435,fumarylacetoacetate hydrolase family protein,SPO_RS12370
SPO2436,SPO2436,FAD dependent oxidoreductase/aminomethyl transferase,SPO_RS12375
SPO2437,SPO2437,Asp/Glu/Hydantoin racemase family protein,SPO_RS12380
SPO2438,SPO2438,phytanoyl-CoA dioxygenase family protein,SPO_RS12385
SPO2439,SPO2439,"transcriptional regulator, GntR family",SPO_RS12390
SPO2440,SPO2440,"metallopeptidase, family M24",SPO_RS12395
SPO2441,SPO2441,"glycine betaine/proline ABC transporter, periplasmic glycine betaine/proline-binding protein",SPO_RS12400
SPO2442,SPO2442,"glycine betaine/proline ABC transporter, permease protein",SPO_RS12405
SPO2443,SPO2443,"glycine betaine/proline ABC transporter, ATP-binding protein",SPO_RS12410
SPO2444,ndk,nucleoside diphosphate kinase,SPO_RS12415
SPO2445,SPO2445,"drug resistance transporter, Bcr/CflA subfamily",SPO_RS12420
SPO2446,SPO2446,"ABC transporter, ATP-binding protein",SPO_RS12425
SPO2447,SPO2447,"acetyltransferase, GNAT family",SPO_RS12430
SPO2448,SPO2448,"membrane protein, MarC family",SPO_RS12435
SPO2449,SPO2449,hypothetical protein,SPO_RS12440
SPO2450,SPO2450,Asp/Glu/Hydantoin racemase family protein,SPO_RS12445
SPO2451,SPO2451,"acyltransferase, putative",SPO_RS12450
SPO2452,SPO2452,"DNA polymerase III, chi subunit, putative",SPO_RS12455
SPO2453,pepA,cytosol aminopeptidase,SPO_RS12460
SPO2454,SPO2454,"permease, YjgP/YjgQ family",SPO_RS12465
SPO2455,SPO2455,"organic solvent tolerance protein, putative",SPO_RS12470
SPO2456,SPO2456,PPIC-type PPIASE domain protein,SPO_RS12475
SPO2457,pdxA-1,4-hydroxythreonine-4-phosphate dehydrogenase,SPO_RS12480
SPO2458,ksgA,dimethyladenosine transferase,SPO_RS12485
SPO2459,SPO2459,hypothetical protein,SPO_RS12490
SPO2460,SPO2460,"modification methylase, HemK family",SPO_RS12495
SPO2461,prfA,peptide chain release factor 1,SPO_RS12500
SPO2462,SPO2462,hypothetical protein,SPO_RS12505
SPO2463,SPO2463,hypothetical protein,SPO_RS12510
SPO2464,speB-2,agmatinase,SPO_RS12515
SPO2465,SPO2465,hypothetical protein,SPO_RS12520
SPO2466,SPO2466,glyoxalase family protein,SPO_RS12525
SPO2467,speB-3,agmatinase,SPO_RS12530
SPO2468,SPO2468,amidohydrolase family protein,SPO_RS12535
SPO2469,SPO2469,mazG family protein,SPO_RS12540
SPO2470,iunH,inosine-uridine preferring nucleoside hydrolase,SPO_RS12545
SPO2471,SPO2471,"acetyltransferase, GNAT family",SPO_RS12550
SPO2472,SPO2472,hypothetical protein,
SPO2473,SPO2473,"haloacid dehalogenase, type II, putative",SPO_RS12560
SPO2474,eno,enolase,SPO_RS12565
SPO2475,SPO2475,hypothetical protein,SPO_RS12570
SPO2476,SPO2476,"lipoprotein, putative",SPO_RS12575
SPO2477,mur,Manganese uptake regulator,SPO_RS12580
SPO2478,SPO2478,RNA helicase,SPO_RS12585
SPO2479,SPO2479,hypothetical protein,SPO_RS12590
SPO2480,selO,Protein adenylyltransferase SelO (EC 2.7.7.-) (EC 2.7.7.n1),SPO_RS12595
SPO2481,SPO2481,drug/metabolite exporter family protein,SPO_RS12600
SPO2482,SPO2482,endonuclease/exonuclease/phosphatase family protein,SPO_RS12605
SPO2483,anmK,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) ,SPO_RS12610
SPO2484,tyrS,tyrosyl-tRNA synthetase,SPO_RS12615
SPO2485,SPO2485,hypothetical protein,
SPO2486,SPO2486,hypothetical protein,SPO_RS12620
SPO2487,SPO2487,"3-hydroxyacyl-CoA dehydrogenase, type II",SPO_RS12625
SPO2488,SPO2488,"ABC transporter, ATP-binding protein",SPO_RS12630
SPO2489,glsB,N-acetyltransferase; glutamine lipid biosynthesis protein,SPO_RS12635
SPO2490,bamE,membrane lipoprotein; outer membrane protein assembly,SPO_RS12640
SPO2491,SPO2491,hypothetical protein,SPO_RS12645
SPO2492,rpmF,ribosomal protein L32,SPO_RS12650
SPO2493,plsX,fatty acid/phospholipid synthesis protein PlsX,SPO_RS12655
SPO2494,fabH-2,3-oxoacyl-(acyl-carrier-protein) synthase III,SPO_RS12660
SPO2495,ihfA,"integration host factor, alpha subunit",SPO_RS12665
SPO2496,SPO2496,"transcriptional regulator, MerR family",
SPO2498,SPO2498,2''-deoxycytidine 5''-triphosphate deaminase-like protein,SPO_RS12680
SPO2499,SPO2499,hypothetical protein,SPO_RS12685
SPO2500,scpB,segregation and condensation protein B,SPO_RS12690
SPO2501,scpA,segregation and condensation protein A,SPO_RS12695
SPO2502,SPO2502,"beta-N-acetylhexosaminidase, putative",SPO_RS12700
SPO2503,SPO2503,hypothetical protein,SPO_RS12705
SPO2504,argS,arginyl-tRNA synthetase,SPO_RS12710
SPO2505,SPO2505,"deoxyguanosinetriphosphate triphosphohydrolase, putative",SPO_RS12715
SPO2506,SPO2506,Iron-sulfur cluster assembly family protein,SPO_RS12720
SPO2507,SPO2507,hypothetical protein,SPO_RS12725
SPO2508,SPO2508,hypothetical protein,
SPO2509,xth,exodeoxyribonuclease III,SPO_RS12740
SPO2510,nahG,salicylate hydroxylase,SPO_RS12745
SPO2511,SPO2511,"dnaK suppressor protein, putative",SPO_RS12750
SPO2512,SPO2512,"ATPase, AAA family",SPO_RS12755
SPO2513,SPO2513,hypothetical protein,SPO_RS12760
SPO2514,SPO2514,hypothetical protein,SPO_RS22570
SPO2515,SPO2515,hypothetical protein,SPO_RS12765
SPO2516,SPO2516,hypothetical protein,SPO_RS12770
SPO2517,SPO2517,"peptidase, M48 family",SPO_RS12775
SPO2518,SPO2518,bacterial luciferase family protein,SPO_RS12780
SPO2519,SPO2519,hypothetical protein,SPO_RS12785
SPO2520,SPO2520,hypothetical protein,SPO_RS12790
SPO2521,SPO2521,"lipoprotein, putative",SPO_RS12795
SPO2522,SPO2522,hypothetical protein,SPO_RS12800
SPO2523,glnE,glutamate-ammonia ligase adenylyltransferase,SPO_RS12805
SPO2524,SPO2524,YbaK/prolyl-tRNA synthetases domain protein,SPO_RS12810
SPO2525,SPO2525,hypothetical protein,
SPO2526,SPO2526,hypothetical protein,
SPO2527,nylA,6-aminohexanoate-cyclic-dimer hydrolase,SPO_RS12825
SPO2528,SPO2528,AMP-binding enzyme,SPO_RS12830
SPO2529,SPO2529,hypothetical protein,SPO_RS12835
SPO2530,SPO2530,"branched-chain amino acid ABC transporter, permease protein",SPO_RS12840
SPO2531,SPO2531,"branched-chain amino acid ABC transporter, permease protein",SPO_RS12845
SPO2532,SPO2532,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS12850
SPO2533,SPO2533,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS12855
SPO2534,SPO2534,"branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein, putative",SPO_RS12860
SPO2535,SPO2535,histone deacetylase/AcuC/AphA family protein,SPO_RS12865
SPO2536,SPO2536,"transcriptional regulator, LuxR family",SPO_RS12870
SPO2537,SPO2537,hypothetical protein,
SPO2538,SPO2538,acyl-CoA dehydrogenase famiy protein,SPO_RS12875
SPO2539,SPO2539,AMP-binding enzyme,SPO_RS12880
SPO2540,SPO2540,"carbamoyl-phosphate synthase, putative",SPO_RS12885
SPO2541,SPO2541,"propionyl-CoA carboxylase, putative",SPO_RS12890
SPO2542,SPO2542,biotin/lipoate binding domain protein,SPO_RS12895
SPO2543,SPO2543,"transcriptional regulator, GntR family",
SPO2544,SPO2544,amidohydrolase family protein,SPO_RS12905
SPO2545,SPO2545,"TRAP dicarboxylate transporter, DctP subunit, putative",SPO_RS12910
SPO2546,SPO2546,"TRAP dicarboxylate transporter, DctQ subunit",SPO_RS12915
SPO2547,SPO2547,"TRAP dicarboxylate transporter, DctM subunit",SPO_RS12920
SPO2548,SPO2548,"oxidoreductase, zinc-binding dehydrogenase family",SPO_RS12925
SPO2549,SPO2549,phosphotransferase family protein,SPO_RS12930
SPO2550,SPO2550,"transcriptional regulator, GntR family",SPO_RS12935
SPO2551,SPO2551,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS12940
SPO2552,SPO2552,"peptide/opine/nickel uptake family ABC transporter, permease/ATP-binding protein",SPO_RS12945
SPO2553,SPO2553,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS12950
SPO2554,SPO2554,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS12955
SPO2555,SPO2555,hypothetical protein,SPO_RS12960
SPO2556,SPO2556,"N-carbamyl-L-amino acid amidohydrolase, putative",SPO_RS12965
SPO2559,gnl,gluconolactonase,
SPO2560,garR,2-hydroxy-3-oxopropionate reductase,SPO_RS12985
SPO2561,SPO2561,ygbK domain protein,SPO_RS12990
SPO2562,fucA,L-fuculose phosphate aldolase,SPO_RS12995
SPO2563,SPO2563,"hydroxypyruvate isomerase, putative",SPO_RS13000
SPO2564,SPO2564,hypothetical protein,
SPO2565,SPO2565,"GTPase, putative",SPO_RS13010
SPO2566,SPO2566,glyoxalase family protein,
SPO2567,SPO2567,hypothetical protein,SPO_RS13025
SPO2568,SPO2568,RDD family protein,SPO_RS13030
SPO2569,bpt,Aspartate/glutamate leucyltransferase (EC 2.3.2.29),SPO_RS13035
SPO2570,SPO2570,glyoxalase family protein,SPO_RS13040
SPO2571,SPO2571,"TRAP transporter, DctM subunit, putative",SPO_RS13045
SPO2572,SPO2572,hypothetical protein,
SPO2573,SPO2573,"bacterial extracellular solute-binding protein, family 7",SPO_RS13055
SPO2574,SPO2574,sensor histidine kinase,SPO_RS13060
SPO2575,SPO2575,"DNA-binding response regulator, LuxR family",SPO_RS13065
SPO2576,SPO2576,"transcriptional regulator, TetR family",SPO_RS13070
SPO2577,SPO2577,hypothetical protein,SPO_RS13075
SPO2578,ilvB,"acetolactate synthase, large subunit, biosynthetic type",SPO_RS13080
SPO2579,ilvN,"acetolactate synthase, small subunit",SPO_RS13085
SPO2580,SPO2580,hypothetical protein,SPO_RS22255
SPO2581,SPO2581,"DNA-binding protein, putative",SPO_RS13095
SPO2582,SPO2582,hypothetical protein,SPO_RS13100
SPO2583,SPO2583,amidase family protein,SPO_RS13105
SPO2584,SPO2584,glyoxalase family protein,SPO_RS13110
SPO2585,prfB,peptide chain release factor 2,SPO_RS13115
SPO2586,SPO2586,type I secretion target repeat protein,SPO_RS13120
SPO2587,mrca,penicillin-binding protein 1A,SPO_RS13125
SPO2588,SPO2588,"N-acetylmuramoyl-L-alanine amidase, family 3",SPO_RS13130
SPO2589,SPO2589,"aminotransferase, classes I and II",SPO_RS13135
SPO2590,SPO2590,"peptidase, M48 family",SPO_RS13140
SPO2591,SPO2591,"27 kDa outer membrane protein, putative",SPO_RS13145
SPO2592,SPO2592,"beta-lactamase, putative",SPO_RS13150
SPO2593,SPO2593,hypothetical protein,SPO_RS13155
SPO2594,ispG,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,SPO_RS13160
SPO2595,SPO2595,hypothetical protein,SPO_RS13165
SPO2596,hemA-1,5-aminolevulinic acid synthase,SPO_RS13170
SPO2597,SPO2597,"peptidase, M20/M25/M40 family",SPO_RS13175
SPO2598,SPO2598,hypothetical protein,SPO_RS13180
SPO2601,SPO2601,pirin domain protein,SPO_RS13195
SPO2602,SPO2602,"transcriptional regulator, RpiR family",SPO_RS13200
SPO2603,SPO2603,N-formylglutamate amidohydrolase family protein,SPO_RS13205
SPO2604,SPO2604,hypothetical protein,SPO_RS13210
SPO2605,SPO2605,"TRAP dicarboxylate transporter, DctM subunit",SPO_RS13215
SPO2606,SPO2606,"bacterial extracellular solute-binding protein, family 7",SPO_RS13220
SPO2607,SPO2607,"gamma-glutamylisopropylamide synthetase, putative",SPO_RS13225
SPO2608,SPO2608,"aldehyde dehydrogenase, putative",SPO_RS13230
SPO2609,SPO2609,"alcohol dehydrogenase, iron-containing",SPO_RS13235
SPO2610,SPO2610,hypothetical protein,SPO_RS13240
SPO2612,SPO2612,"DNA-binding protein HU, putative",
SPO2613,lon,ATP-dependent protease La,SPO_RS13255
SPO2614,SPO2614,hypothetical protein,SPO_RS13260
SPO2615,SPO2615,"NADH-dependent flavin oxidoreductase, Oye family",SPO_RS13265
SPO2616,tgt,queuine tRNA-ribosyltransferase,SPO_RS13270
SPO2617,SPO2617,SPFH domain/band 7 family protein,SPO_RS13275
SPO2618,SPO2618,hypothetical protein,SPO_RS13280
SPO2619,SPO2619,hypothetical protein,SPO_RS13285
SPO2620,SPO2620,iron-sulfur cluster assembly accessory protein,SPO_RS13290
SPO2621,tpiA,triosephosphate isomerase,SPO_RS13295
SPO2622,SPO2622,"acetyltransferase, GNAT family",SPO_RS13300
SPO2623,SPO2623,"transporter, LysE family",SPO_RS13305
SPO2624,SPO2624,"transcriptional regulator, AsnC family",SPO_RS13310
SPO2625,SPO2625,hypothetical protein,
SPO2626,SPO2626,"TRAP transporter, DctM subunit",SPO_RS13320
SPO2627,SPO2627,"TRAP transporter, DctQ subunit",SPO_RS13325
SPO2628,SPO2628,"TRAP transporter solute receptor, DctP family",SPO_RS13330
SPO2629,SPO2629,C4-dicarboxylate transport transcriptional regulatory protein,SPO_RS13335
SPO2630,SPO2630,C4-dicarboxylate transport sensor protein,SPO_RS13340
SPO2631,SPO2631,"transcriptional regulator, AsnC family",SPO_RS13345
SPO2632,cobA-1,uroporphyrin-III C-methyltransferase,SPO_RS13350
SPO2633,SPO2633,hypothetical protein,SPO_RS13355
SPO2634,SPO2634,"sulfite reductase, putative",SPO_RS13360
SPO2635,cysH,phosophoadenylyl-sulfate reductase,SPO_RS13365
SPO2636,SPO2636,hypothetical protein,SPO_RS13370
SPO2637,SPO2637,ferredoxin--NADP reductase,SPO_RS13375
SPO2638,infC,translation initiation factor IF-3,SPO_RS13380
SPO2639,SPO2639,molybdopterin biosynthesis protein,SPO_RS13385
SPO2640,SPO2640,XdhC/CoxI family protein,SPO_RS13390
SPO2641,SPO2641,hypothetical protein,SPO_RS13395
SPO2642,SPO2642,YeeE/YedE family protein,SPO_RS13400
SPO2643,SPO2643,hypothetical protein,SPO_RS13405
SPO2644,SPO2644,VWA domain containing CoxE-like family protein,SPO_RS13410
SPO2645,SPO2645,"protease, S2 family",SPO_RS22260
SPO2646,SPO2646,hypothetical protein,SPO_RS13420
SPO2647,SPO2647,hypothetical protein,SPO_RS13425
SPO2648,SPO2648,hypothetical protein,SPO_RS13430
SPO2649,SPO2649,hypothetical protein,SPO_RS13435
SPO2650,SPO2650,"methyltransferase, FkbM family",SPO_RS13440
SPO2651,SPO2651,"glycosyl transferase, group 2 family protein",SPO_RS13445
SPO2652,SPO2652,hypothetical protein,SPO_RS13450
SPO2652a,SPO2652a,Polyketide cyclase,SPO_RS13455
SPO2653,pyrC,Dihydroorotase (EC 3.5.2.3),SPO_RS13460
SPO2654,pyrE,orotate phosphoribosyltransferase,SPO_RS13465
SPO2655,dnaB,replicative DNA helicase,SPO_RS13470
SPO2656,SPO2656,"transcriptional regulator, LysR family",SPO_RS13475
SPO2657,cuyA2,L-cysteate sulfolyase family,SPO_RS13480
SPO2658,SPO2658,"cysteate ABC transporter, periplasmic substrate-binding protein ",SPO_RS13485
SPO2659,SPO2659,"cysteate ABC transporter, permease protein ",SPO_RS13490
SPO2660,SPO2660,"cysteate ABC transporter, permease protein ",SPO_RS13495
SPO2661,SPO2661,"cysteate ABC transporter, ATP-binding protein ",SPO_RS13500
SPO2662,SPO2662,"aspartate racemase, putative",SPO_RS13505
SPO2663,aspA,aspartate ammonia-lyase,SPO_RS13510
SPO2664,SPO2664,"polar amino acid uptake family ABC transporter, ATP-binding protein",SPO_RS13515
SPO2665,SPO2665,"polar amino acid uptake family ABC transporter, permease protein",SPO_RS13520
SPO2666,SPO2666,"polar amino acid uptake family ABC transporter, permease protein",SPO_RS13525
SPO2667,SPO2667,"polar amino acid uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS13530
SPO2668,SPO2668,"transcriptional regulator, LysR family",SPO_RS13535
SPO2669,SPO2669,"oxidoreductase, 2OG-Fe(II) oxygenase family",SPO_RS13540
SPO2670,alr,alanine racemase,SPO_RS13545
SPO2671,SPO2671,membrane protein,SPO_RS13550
SPO2672,SPO2672,"ABC transporter, ATP-binding protein",SPO_RS13555
SPO2673,SPO2673,"paraquat-inducible protein A, putative",SPO_RS13560
SPO2674,radA,DNA repair protein RadA,SPO_RS13565
SPO2675,SPO2675,CvpA family protein,SPO_RS13570
SPO2676,SPO2676,hypothetical protein,SPO_RS22265
SPO2677,purF,amidophosphoribosyltransferase,SPO_RS13580
SPO2678,SPO2678,hypothetical protein,SPO_RS13585
SPO2679,SPO2679,"oxidoreductase, short-chain dehydrogenase/reductase family",SPO_RS13590
SPO2680,SPO2680,hypothetical protein,SPO_RS13595
SPO2681,tatC,twin-arginine translocation protein TatC,SPO_RS13600
SPO2682,tatB,twin-arginine translocation protein TatB,SPO_RS13605
SPO2683,SPO2683,"twin-arginine translocation protein, TatA/E family",SPO_RS13610
SPO2684,SPO2684,hypothetical protein,SPO_RS13615
SPO2685,SPO2685,hypothetical protein,SPO_RS13620
SPO2686,SPO2686,LysM domain/M23/M37 peptidase,SPO_RS13625
SPO2687,pcm-2,protein-L-isoaspartate O-methyltransferase,SPO_RS13630
SPO2688,surE,acid phosphatase SurE,SPO_RS13635
SPO2689,SPO2689,"iron ABC transporter, ATP-binding protein, putative",SPO_RS13640
SPO2690,SPO2690,hypothetical protein,SPO_RS13645
SPO2691,SPO2691,hypothetical protein,SPO_RS13650
SPO2692,SPO2692,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS13655
SPO2693,SPO2693,hypothetical protein,SPO_RS13660
SPO2694,SPO2694,cytochrome c',SPO_RS13665
SPO2695,SPO2695,peptide chain release factor 3,SPO_RS13670
SPO2696,SPO2696,"beta-lactamase, putative",SPO_RS13675
SPO2697,SPO2697,"acyl-CoA synthetase, putative",SPO_RS13680
SPO2698,SPO2698,acyl-CoA dehydrogenase family protein,SPO_RS13685
SPO2699,SPO2699,"possible carnitine uptake; opine/polyamine transporter, permease",SPO_RS13690
SPO2700,SPO2700,"possible carnitine uptake; opine/polyamine transporter, permease",SPO_RS13695
SPO2701,SPO2701,"possible carnitine uptake; opine/polyamine transporter, periplasmic binding protein",SPO_RS13700
SPO2702,SPO2702,"possible carnitine uptake; opine/polyamine transporter, ATP binding protein",SPO_RS13705
SPO2703,SPO2703,hypothetical protein,SPO_RS13710
SPO2704,SPO2704,possible carnitine degradation regulator,SPO_RS13715
SPO2705,SPO2705,carnitine 3-dehydrogenase,SPO_RS13720
SPO2706,caiD-1,carnitinyl-CoA dehydratase,SPO_RS13725
SPO2707,SPO2707,flavin dependent oxidoreductase,SPO_RS13730
SPO2708,SPO2708,carnitine dehydratase,SPO_RS13735
SPO2709,SPO2709,"endoribonuclease L-PSP, putative",SPO_RS13740
SPO2710,SPO2710,3-oxoadipate enol-lactonase family protein,SPO_RS13745
SPO2711,caiB,Crotonobetainyl-CoA:carnitine CoA-transferase CaiB,SPO_RS13750
SPO2712,SPO2712,hypothetical protein,SPO_RS13755
SPO2713,secA2,Protein translocase subunit SecA 2,SPO_RS13760
SPO2714,SPO2714,"peptidase, M50 family",SPO_RS13765
SPO2715,SPO2715,GAF domain protein,SPO_RS13770
SPO2716,SPO2716,type I secretion target repeat protein,SPO_RS13775
SPO2717,SPO2717,"SapC protein, putative",SPO_RS13780
SPO2718,SPO2718,hypothetical protein,SPO_RS13785
SPO2719,SPO2719,hypothetical protein,SPO_RS13790
SPO2720,SPO2720,hypothetical protein,
SPO2721,SPO2721,hypothetical protein,SPO_RS13805
SPO2722,SPO2722,hypothetical protein,SPO_RS13810
SPO2723,SPO2723,hypothetical protein,SPO_RS13815
SPO2723a,SPO2723a,hypothetical protein,SPO_RS13820
SPO2724,SPO2724,hypothetical protein,SPO_RS13825
SPO2725,SPO2725,hypothetical protein,
SPO2726,SPO2726,hypothetical protein,SPO_RS13840
SPO2729,SPO2729,hypothetical protein,SPO_RS13850
SPO2730,SPO2730,hypothetical protein,SPO_RS13855
SPO2731,SPO2731,"ISSpo7, transposase",SPO_RS22590
SPO2733,hsdM,"type I restriction-modification system, M subunit",SPO_RS13880
SPO2734,hsdS,"type I restriction-modification system, S subunit",SPO_RS13885
SPO2735,hsdR,"type I restriction-modification system, R subunit",SPO_RS13890
SPO2736,SPO2736,hypothetical protein,SPO_RS13900
SPO2738,SPO2738,"lipoprotein, putative",SPO_RS13910
SPO2739,SPO2739,D-alanyl-D-alanine carboxypeptidase,SPO_RS13915
SPO2740,tmk,thymidylate kinase,SPO_RS13920
SPO2741,SPO2741,"DNA polymerase III, delta prime subunit, putative",SPO_RS13925
SPO2742,SPO2742,"hydrolase, TatD family",SPO_RS13930
SPO2743,SPO2743,hypothetical protein,SPO_RS13935
SPO2744,SPO2744,"malonate transporter, putative",SPO_RS13940
SPO2745,SPO2745,hypothetical protein,SPO_RS13945
SPO2746,SPO2746,hypothetical protein,SPO_RS13950
SPO2747,SPO2747,"diguanylate cyclase, putative",SPO_RS13955
SPO2748,SPO2748,hypothetical protein,SPO_RS13960
SPO2749,SPO2749,hypothetical protein,SPO_RS13965
SPO2750,SPO2750,trimethylamine methyltransferase family protein,SPO_RS13970
SPO2751,SPO2751,"HAD-superfamily hydrolase, subfamily IA, variant 1 family protein",SPO_RS13975
SPO2752,SPO2752,hypothetical protein,SPO_RS13980
SPO2753,SPO2753,"diguanylate cyclase, putative/response regulator",SPO_RS13985
SPO2754,SPO2754,hypothetical protein,SPO_RS13990
SPO2755,SPO2755,hypothetical protein,SPO_RS13995
SPO2756,SPO2756,"RNA polymerase sigma-70 factor, ECF family",SPO_RS14000
SPO2757,SPO2757,EF hand domain protein,SPO_RS14005
SPO2758,SPO2758,hypothetical protein,SPO_RS14010
SPO2759,SPO2759,"hydrolase, NUDIX family",SPO_RS14015
SPO2760,SPO2760,metallo-beta-lactamase family protein,SPO_RS14020
SPO2761,coaX,Type III pantothenate kinase (EC 2.7.1.33),SPO_RS14025
SPO2762,SPO2762,biotin--acetyl-CoA-carboxylase ligase,SPO_RS14030
SPO2763,nuoN,"NADH dehydrogenase I, N subunit",SPO_RS14035
SPO2764,nuoM,"NADH dehydrogenase I, M subunit",SPO_RS14040
SPO2765,nuoL,"NADH dehydrogenase I, L subunit",SPO_RS14045
SPO2766,nuoK,"NADH dehydrogenase I, K subunit",SPO_RS14050
SPO2767,nuoJ,"NADH dehydrogenase I, J subunit",SPO_RS14055
SPO2768,SPO2768,"4-carboxymuconolactone decarboxylase, putative",SPO_RS14060
SPO2769,SPO2769,hypothetical protein,SPO_RS14065
SPO2770,nuoI,"NADH dehydrogenase I, I subunit",SPO_RS14070
SPO2771,SPO2771,hypothetical protein,SPO_RS14075
SPO2772,nuoH,"NADH dehydrogenase I, H subunit",SPO_RS14080
SPO2773,SPO2773,"lipoprotein, putative",SPO_RS14085
SPO2774,nuoG,"NADH dehydrogenase I, G subunit",SPO_RS14090
SPO2775,SPO2775,hypothetical protein,
SPO2776,SPO2776,hypothetical protein,SPO_RS14100
SPO2777,nuoF,"NADH-quinone oxidoreductase, F subunit",SPO_RS14105
SPO2778,SPO2778,hypothetical protein,SPO_RS14110
SPO2779,SPO2779,hypothetical protein,SPO_RS14115
SPO2780,nuoE,NADH:ubiquinone oxidoreductase 41 kD complex I subunit,SPO_RS14120
SPO2781,SPO2781,"lipoprotein, putative",SPO_RS14125
SPO2782,nuoD,"NADH dehydrogenase I, D subunit",SPO_RS14130
SPO2783,SPO2783,hypothetical protein,
SPO2784,nuoC,"NADH-quinone oxidoreductase, C subunit",SPO_RS14140
SPO2785,nuoB,"NADH dehydrogenase I, B subunit",SPO_RS14145
SPO2786,nuoA,"NADH dehydrogenase I, A subunit",SPO_RS14150
SPO2787,SPO2787,enoyl-CoA hydratase/isomerase family protein,SPO_RS14155
